Expression: painstaking work; travail de fourmi
The saw-toothed pattern on the fabric gave it a unique look; Le motif en dents de scie sur le tissu lui donnait un aspect unique.
The saw-toothed edge of the paper cut through the cardboard easily; Le bord en dents de scie du papier a coupé à travers le carton facilement.
The saw-toothed leaves glistened with dew in the morning sunlight; Les feuilles en dents de scie scintillaient de rosée sous la lumière du matin.
She ran her finger along the saw-toothed edges of the old book; Elle passa son doigt le long des bords en dents de scie du vieux livre.
The saw-toothed blade on the chainsaw made quick work of the fallen tree; La lame en dents de scie de la tronçonneuse a rapidement abattu l'arbre tombé.

Expression: cut to the chase; droit au but
cut to the chase; directement au but
Let's cut to the chase and discuss the main issue at hand.; Directement au but, discutons du principal problème.
I don't have time for small talk, just cut to the chase!; Je n'ai pas le temps pour la discussion futile, vas directement au but !
She always cuts to the chase in her conversations, being very efficient.; Elle va toujours directement au but dans ses conversations, très efficace.
Rather than beating around the bush, let's cut to the chase and solve the problem.; Plutôt que de tourner autour du pot, allons directement au but pour résoudre le problème.
Cutting to the chase saved us a lot of time during the meeting.; Aller directement au but nous a fait économiser beaucoup de temps pendant la réunion.
During negotiations, it's important to cut to the chase and focus on key points.; Pendant les négociations, il est important de ne pas tourner autour du pot et de se concentrer sur les points clés.
Cutting to the chase helped us reach a decision quickly.; Aller directement au but nous a permis de prendre rapidement une décision.
In discussions, I prefer to cut to the chase and get to the heart of the matter.; Dans les discussions, je préfère aller directement au but et aborder l'essentiel.
Cutting to the chase helped us avoid unnecessary delays in the project.; Aller directement au but nous a aidés à éviter des retards inutiles dans le projet.

Expression: right to the point; droit au but
right to the point; directement au fait
She always gets right to the point in meetings, which I appreciate.; Elle va toujours directement au fait en réunion, ce que j'apprécie.
Their presentation was concise and right to the point, leaving time for questions at the end.; Leur présentation était concise et directement au fait, laissant du temps pour les questions à la fin.
He is known for being a manager who goes right to the point without hesitation.; Il est connu pour être un gestionnaire qui va directement au fait sans hésitation.
For a successful negotiation, it's crucial to be right to the point and not waste time.; Pour une négociation réussie, il est crucial d'être directement au fait et de ne pas perdre de temps.
My teacher's responses are always right to the point, which helps me understand the material better.; Les réponses de mon professeur vont toujours directement au fait, ce qui m'aide à mieux comprendre le contenu.
The interviewer appreciated the candidate's communication style of getting right to the point during the job interview.; L'interviewer a apprécié le style de communication du candidat qui allait directement au fait pendant l'entretien d'embauche.
Being right to the point in your email communication can save time for both the sender and the receiver.; Être directement au fait dans sa communication par email peut économiser du temps pour l'expéditeur comme pour le destinataire.
She appreciated his direct and right to the point approach in addressing the issue.; Elle a apprécié son approche directe et directement au fait pour aborder le problème.
During negotiations, it's important to stay right to the point to avoid misunderstandings.; Pendant les négociations, il est important de rester directement au fait pour éviter les malentendus.

Expression: right to it; droit au but
right to it; droit au but
Let's get right to it and address the main issue at hand.; Allons droit au but et abordons le problème principal.
He doesn't beat around the bush, he always goes right to it in our meetings.; Il ne tourne pas autour du pot, il va toujours droit au but dans nos réunions.
We need to be efficient and go right to it to finish the project on time.; Nous devons être efficaces et aller droit au but pour terminer le projet à temps.
Don't waste any time, let's go right to it and start working on this task immediately.; Ne perds pas de temps, allons droit au but et commençons à travailler sur cette tâche immédiatement.
She appreciates people who go right to it and get the job done without delays.; Elle apprécie les personnes qui vont droit au but et qui accomplissent le travail sans retard.
It's better to go right to it and discuss the matter directly with him instead of waiting.; Il vaut mieux y aller droit au but et discuter directement du problème avec lui au lieu d'attendre.
